SCHID,LEAID,SCH_NAME,LEA_STATE_NAME_x,LEA_ZIP,white_student_suspension_total,black_student_suspension_total,black_student_pop,white_student_pop,susp_black_white_ratio,gini_inequality,med_hh_inc,white_prop,bach_plus_prop,SCH_GRADE_PS,SCH_GRADE_KG,SCH_GRADE_G06,SCH_GRADE_G07,SCH_GRADE_G08,SCH_GRADE_G09,SCH_GRADE_G10,SCH_GRADE_G11,SCH_GRADE_G12,SCH_SSCLASSES_IND,SCH_GT_IND,SCH_IBENR_IND,SCH_APSEL,teacher_prop,security_pop_bool,security_pop,law_prop,counc_prop,cert_teacher_prop,total_susp_per_pop,school_pop,reduced_free_lunch_prop,male_prop,black_white_pop_ratio
1941,3620580,TRANSIT TECH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,NEW YORK,NA,0,14,453,19,Inf,NA,NA,NA,NA,,,,,,,,,,,,,Yes,NA,NA,NA,NA,NA,NA,0.029661016949152543,803,NA,0.8617683686176837,0.9597457627118644
1943,3620580,EDWARD R MURROW HIGH SCHOOL,NEW YORK,NA,5,8,654,1099,2.68868501529052,NA,NA,NA,NA,,,,,,,,,,,,,Yes,NA,NA,NA,NA,NA,NA,0.007415858528237307,3621,NA,0.42861088097210714,0.3730747290359384
1947,3620580,FRANKLIN DELANO ROOSEVELT HIGH SCHOOL,NEW YORK,NA,3,7,308,477,3.6136363636363638,NA,NA,NA,NA,,,,,,,,,,,,,No,NA,NA,NA,NA,NA,NA,0.012738853503184714,3160,NA,0.5955696202531645,0.3923566878980892
1949,3620580,HIGH SCHOOL OF FASHION INDUSTRIES (THE),NEW YORK,NA,1,30,519,85,4.913294797687861,NA,NA,NA,NA,,,,,,,,,,,,,No,NA,NA,NA,NA,NA,NA,0.05132450331125828,1693,NA,0.11636148848198465,0.859271523178808
1950,3620580,FLUSHING HIGH SCHOOL,NEW YORK,NA,0,4,180,44,Inf,NA,NA,NA,NA,,,,,,,,,,,,,Yes,NA,NA,NA,NA,NA,NA,0.017857142857142856,1453,NA,0.5375086028905712,0.8035714285714286
1951,3620580,FOREST HILLS HIGH SCHOOL,NEW YORK,NA,6,1,221,913,0.6885369532428357,NA,NA,NA,NA,,,,,,,,,,,,,Yes,NA,NA,NA,NA,NA,NA,0.006172839506172839,3595,NA,0.49040333796940194,0.1948853615520282
1952,3620580,FORT HAMILTON HIGH SCHOOL,NEW YORK,NA,12,2,98,1424,2.4217687074829932,NA,NA,NA,NA,,,,,,,,,,,,,No,NA,NA,NA,NA,NA,NA,0.009198423127463863,4131,NA,0.523602033405955,0.06438896189224705
1953,3620580,FRANCIS LEWIS HIGH SCHOOL,NEW YORK,NA,0,0,184,583,NA,NA,NA,NA,NA,,,,,,,,,,,,,Yes,NA,NA,NA,NA,NA,NA,0,4201,NA,0.5158295643894311,0.23989569752281617
1955,3620580,GEORGE WESTINGHOUSE CAREER & TECHNICAL ED HIGH SCHOOL,NEW YORK,NA,0,7,413,12,Inf,NA,NA,NA,NA,,,,,,,,,,,,,No,NA,NA,NA,NA,NA,NA,0.01647058823529412,638,NA,0.6974921630094044,0.971764705882353
1959,3620580,GROVER CLEVELAND HIGH SCHOOL,NEW YORK,NA,0,3,70,246,Inf,NA,NA,NA,NA,,,,,,,,,,,,,Yes,NA,NA,NA,NA,NA,NA,0.00949367088607595,1471,NA,0.5608429639700884,0.22151898734177214
1963,3620580,HARRY S TRUMAN HIGH SCHOOL,NEW YORK,NA,1,5,955,74,0.387434554973822,NA,NA,NA,NA,,,,,,,,,,,,,No,NA,NA,NA,NA,NA,NA,0.0058309037900874635,2106,NA,0.5669515669515669,0.9280855199222546
1964,3620580,HERBERT H LEHMAN HIGH SCHOOL,NEW YORK,NA,0,4,279,77,Inf,NA,NA,NA,NA,,,,,,,,,,,,,Yes,NA,NA,NA,NA,NA,NA,0.011235955056179775,1017,NA,0.5634218289085545,0.7837078651685393
1965,3620580,HILLCREST HIGH SCHOOL,NEW YORK,NA,0,7,650,76,Inf,NA,NA,NA,NA,,,,,,,,,,,,,Yes,NA,NA,NA,NA,NA,NA,0.009641873278236915,2586,NA,0.47447795823665895,0.8953168044077136
1966,3620580,IS 7 ELIAS BERNSTEIN,NEW YORK,NA,5,0,7,853,0,NA,NA,NA,NA,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,0.005813953488372093,1151,NA,0.5317115551694179,0.00813953488372093
1969,3620580,IS 25 ADRIEN BLOCK,NEW YORK,NA,0,0,12,127,NA,NA,NA,NA,NA,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,0,998,NA,0.5110220440881763,0.08633093525179857
1970,3620580,IS 34 TOTTENVILLE,NEW YORK,NA,4,0,8,717,0,NA,NA,NA,NA,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,0.005517241379310344,991,NA,0.4682139253279516,0.011034482758620689
1972,3620580,MS 53 BRIAN PICCOLO,NEW YORK,NA,0,4,99,5,Inf,NA,NA,NA,NA,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,0.038461538461538464,197,NA,0.5634517766497462,0.9519230769230769
1973,3620580,IS 61 WILLIAM A MORRIS,NEW YORK,NA,0,20,301,101,Inf,NA,NA,NA,NA,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,0.04975124378109453,990,NA,0.4505050505050505,0.7487562189054726
1974,3620580,IS 72 ROCCO LAURIE,NEW YORK,NA,1,3,83,597,21.57831325301205,NA,NA,NA,NA,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,0.0058823529411764705,1478,NA,0.5365358592692828,0.12205882352941176
1979,3620580,JHS 131 ALBERT EINSTEIN,NEW YORK,NA,0,0,92,3,NA,NA,NA,NA,NA,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,0,341,NA,0.5043988269794721,0.968421052631579
